timeout ajax stream
1 898.625 990.9473684210526
8 2842.8 2794.5
16 4997.444444444444 4840
32 9351.5 8850.42857142857
64 18096.733333333334 16994.666666666668
128 35535.6 33326.8
256 70332.11111111111 65977.66666666667
512 140161.6 131010
1024 279949.5 262063
