timeout server ajax stream
0 651.875 694.3333333333334 1117
2000 2621.5 2851.3333333333335 2056.5
4000 4610.666666666667 4660.333333333333 4069.3333333333335
6000 6599.666666666667 6659.5 6061
8000 8575 8600.5 8064
10000 10551 10663.75 10060
