documents server ajax stream
0 590.6363636363636 777.1666666666666 1189.3333333333333
1024 573.7777777777778 803.1176470588235 1115.5
4096 605.25 950.7857142857143 1428.3333333333333
9216 835.2105263157895 1115.625 1711
16384 1268.8 1368.9375 1875
25600 1673.909090909091 1660.9333333333334 2525.2
36864 2481.5625 1845.3846153846155 3494.5
50176 2742 2128.076923076923 3887.2
65536 3464.75 3084 6600
82944 3706.181818181818 3330.1666666666665 9693
